,Domestic,International,WorldWide,imdbId
420,418961.0,,418961.0,110265
421,9979683.0,,9979683.0,110305
422,50016394.0,87282095.0,137298489.0,107362
423,12440858.0,,12440858.0,107413
424,16821273.0,,16821273.0,110353
425,1498795.0,,1498795.0,107468
426,44942695.0,60000000.0,104942695.0,107478
427,46405336.0,,46405336.0,107497
428,24760338.0,,24760338.0,107501
429,11330911.0,,11330911.0,107507
430,27912072.0,,27912072.0,107554
431,56569216.0,65400000.0,121969216.0,116253
432,,,266.0,74102
433,,,,111689
434,22549338.0,,22549338.0,107616
435,3125424.0,,3125424.0,107613
436,219195243.0,222090952.0,441286195.0,107614
437,1769305.0,27890.0,1797195.0,107653
438,8914777.0,6961576.0,15876353.0,110657
439,15339030.0,,15339030.0,110678
440,7182747.0,,7182747.0,110687
441,5377643.0,31780.0,5409423.0,107756
442,31130999.0,104000000.0,135130999.0,107808
443,77446440.0,129232000.0,206678440.0,107818
444,40157856.0,27700.0,40185556.0,107822
445,27515786.0,,27515786.0,107840
446,23032565.0,,23032565.0,107889
447,8647042.0,,8647042.0,111003
448,1316865.0,,1316865.0,110939
449,11439193.0,,11439193.0,110955
450,23237911.0,,23239926.0,107943
451,24332324.0,,24332324.0,110971
452,63179523.0,44019267.0,107198790.0,107969
453,6562513.0,,6562513.0,111001
454,10696210.0,,10696210.0,107978
455,35739755.0,,35739755.0,107977
456,3275585.0,,3275585.0,107983
457,175340.0,,175340.0,105275
458,1001437.0,,1001437.0,108000
459,22881563.0,,22881563.0,108002
460,662341.0,,662341.0,105032
461,96898818.0,225262427.0,322161245.0,108052
462,2694234.0,,2694234.0,111094
463,7266383.0,,7266383.0,108065
464,31181347.0,,31181347.0,108071
465,7820688.0,,7820688.0,111127
466,32063435.0,16000000.0,48063435.0,111143
467,25842377.0,,25842377.0,108101
468,6110979.0,,6110979.0,108122
469,3430583.0,,3430583.0,111194
470,7770731.0,,7770731.0,111201
471,6405918.0,,6405918.0,108149
472,126808165.0,101119000.0,227927165.0,108160
473,36300000.0,80000000.0,116300000.0,108162
474,32914489.0,8799027.0,41753146.0,83658
475,36448400.0,,36448400.0,108186
476,11585483.0,,11585483.0,108174
477,24107867.0,,24107867.0,108238
478,20915465.0,,20927916.0,108255
479,7727256.0,,7727256.0,111323
480,16487349.0,,16487349.0,111400
481,1319521.0,,1319521.0,108328
482,14815317.0,,14815317.0,111418
483,87620624.0,14063814.0,101692744.0,107688
484,53898845.0,,53898845.0,108333
485,56505065.0,,56505065.0,108358
486,12281551.0,807299.0,13088850.0,108399
487,901668.0,,901668.0,108515
488,13670688.0,,13670688.0,110763
489,4569019.0,,4569882.0,114906
490,,,,107002
491,1596687.0,,1596687.0,109403
492,2019581.0,,2020357.0,107315
493,734634.0,4421.0,739055.0,106408
494,12267790.0,,12267790.0,110363
495,1113435.0,,1113435.0,107225
496,1359736.0,,1359736.0,111252
497,52125282.0,15183000.0,67308282.0,110366
498,16820893.0,,16820893.0,109120
499,147107.0,,147107.0,108059
500,3062530.0,,3062530.0,110892
501,1400591.0,,1400591.0,112651
502,,145259.0,145259.0,109382
503,46576136.0,,46576136.0,112572
504,285761243.0,190923432.0,476684675.0,99785
505,217631306.0,288072251.0,505703557.0,99653
506,217350219.0,286700000.0,504050219.0,103639
507,205881154.0,312106698.0,520881154.0,103064
508,184208848.0,240000000.0,424208848.0,99348
509,251409241.0,160160000.0,411569241.0,96895
510,130742922.0,142000000.0,272742922.0,102926
511,184925486.0,34985.0,184960747.0,29583
512,218967620.0,186043788.0,424967620.0,101414
513,84254167.0,37637878.0,121892045.0,32910
514,178406268.0,285000000.0,463406268.0,100405
515,638641.0,,639079.0,65214
516,35200.0,,35200.0,110395
517,527034.0,,527034.0,109934
518,46151454.0,51378096.0,97529550.0,117247
519,13940383.0,,13940383.0,112625
520,24611975.0,36000000.0,60611975.0,116282
521,32772492.0,,32772492.0,116552
522,546545.0,,546545.0,82509
523,9336886.0,,9336886.0,116514
524,5656388.0,,5656388.0,117283
525,5200601.0,,5200601.0,116684
526,,,,70506
527,35452658.0,6885.0,35461460.0,65421
528,1104622.0,,1105265.0,113083
529,1141556.0,,1141556.0,118001
530,4422380.0,,4422380.0,116165
531,34767836.0,831967.0,35599803.0,117891
532,459749.0,,459749.0,113613
533,56116183.0,46500000.0,102616183.0,117381
534,8620678.0,,8620678.0,115509
535,228800.0,,228800.0,114671
536,148121.0,,148121.0,112844
537,,,,114658
538,10125417.0,,10125417.0,116275
539,87433.0,,87433.0,113122
540,30356793.0,7600000.0,37956793.0,117608
541,218626.0,,218626.0,113448
542,4939939.0,,4939939.0,116414
543,17100266.0,,17100266.0,116095
544,955300.0,408.0,955708.0,113947
545,59031057.0,41829761.0,100860818.0,115956
546,180981856.0,276714535.0,457696391.0,117060
547,,,,109028
548,3486957.0,,3486957.0,117071
549,51367375.0,63900000.0,115267375.0,116136
550,31387164.0,,31387164.0,116168
551,28946127.0,,28946127.0,116683
552,20831000.0,,20831000.0,116287
553,2654308.0,,2654308.0,116768
554,171082.0,,171082.0,114787
555,684351.0,,684351.0,112536
556,134241.0,1101.0,135342.0,48473
557,134241.0,,134241.0,52572
558,1007306.0,,1007306.0,117128
559,90594962.0,140000000.0,230594962.0,117705
560,,,,62711
561,,,,108181
562,,,,114307
563,47696.0,,48644.0,58898
564,622503.0,,622503.0,113443
565,24670346.0,,24670346.0,114048
566,10082005.0,,10082005.0,117104
567,5107669.0,,5107669.0,117688
568,14818176.0,,14818176.0,117774
569,,,,114736
570,3124440.0,,3124440.0,116289
571,63174.0,,63174.0,109593
572,4821759.0,,4821759.0,112368
573,516349.0,,516349.0,115742
574,21686547.0,35714000.0,57400547.0,117420
575,10163782.0,,10163782.0,117784
576,11526099.0,,11526099.0,117107
577,34861807.0,,34861807.0,117979
578,74151346.0,,74151346.0,95776
579,9255027.0,,9255027.0,115851
580,20080020.0,,20080020.0,116322
581,1037847.0,47232.0,1085079.0,112817
582,1320043.0,,1320043.0,113362
583,659810.0,,659810.0,108500
584,21075014.0,,21075014.0,117108
585,,,,118114
586,,,,113270
587,24819936.0,,24825844.0,115963
588,8008255.0,,8008255.0,116448
589,5939449.0,,5939449.0,116827
590,5682429.0,,5682429.0,112701
591,5009305.0,,5009305.0,116508
592,134069511.0,200993110.0,335062621.0,117500
593,253986.0,,253986.0,109592
594,241830615.0,252750000.0,494580615.0,117998
595,3793614.0,,3793614.0,115624
596,889074.0,29664.0,919872.0,113568
597,15315484.0,,15315484.0,117894
598,26960191.0,,26960191.0,117723
599,,,,112691
600,2491989.0,,2491989.0,117768
601,14063331.0,,14063331.0,115571
602,9440272.0,85669.0,9529170.0,57012
603,174273.0,1835421.0,2009694.0,109688
604,62186.0,,62186.0,110480
605,152972.0,,152972.0,108211
606,17323326.0,,17323326.0,117331
607,33109743.0,80200000.0,113309743.0,117765
608,941414.0,,941414.0,113280
609,58620973.0,,58620973.0,116669
610,1875527.0,,1875527.0,116594
611,,,180.0,70820
612,,,,63715
613,16491080.0,276395.0,16787952.0,117951
614,3525125.0,,3525125.0,118523
615,306169268.0,511231623.0,817400891.0,116629
616,4722310.0,158600.0,4880910.0,117737
617,18626419.0,,18626419.0,116277
618,100138851.0,225200000.0,325338851.0,116583
619,60240295.0,42585501.0,102825796.0,115798
620,25023434.0,,25023434.0,116778
621,101295562.0,141000000.0,242295562.0,116213
622,128814019.0,145147000.0,273961019.0,117218
623,,,,111546
624,,,,113610
625,18112.0,,18112.0,111237
626,33023469.0,126189000.0,159212469.0,116040
627,16759216.0,12600000.0,29359216.0,116365
628,12408986.0,,12408986.0,116905
629,26570048.0,,26570048.0,116493
630,104636382.0,47400000.0,152036382.0,117333
631,1287480.0,,1287480.0,118113
632,9538948.0,,9538948.0,117628
633,108766007.0,43500000.0,152266007.0,117913
634,665450.0,,665450.0,115530
635,11829959.0,,11829959.0,115493
636,17193231.0,,17193231.0,116320
637,18937262.0,,18937262.0,116756
638,8315693.0,,8315693.0,116823
639,21440752.0,,21440752.0,118073
640,,7077.0,7077.0,61495
641,,,,110246
642,15094530.0,,15094530.0,115472
643,4619014.0,,4619014.0,116707
644,105489203.0,76000000.0,181489203.0,116313
645,136492681.0,173000000.0,309492681.0,117438
646,21302121.0,,21302121.0,116531
647,269300.0,,269300.0,116353
648,21226204.0,38983130.0,60209334.0,115857
649,33459416.0,,33460154.0,117008
650,22231658.0,,22231658.0,116191
651,17917287.0,,17917287.0,115986
652,7032782.0,,7032782.0,116571
653,58565.0,1689.0,60254.0,53459
